notebook,status,seconds,stderr_tail
01-foundations-to-advanced-scientific-modeling.ipynb,PASS,17.2,port via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12329 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\01-foundations-to-advanced-scientific-modeling.ipynb 
02-data-audit-and-leakage.ipynb,PASS,11.5,ad for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12287 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\02-data-audit-and-leakage.ipynb 
03-resampling-and-scientific-design.ipynb,PASS,11.4,_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12307 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\03-resampling-and-scientific-design.ipynb 
04-bootstrap-and-stability.ipynb,PASS,11.3,d for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12289 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\04-bootstrap-and-stability.ipynb 
05-feature-engineering-and-selection.ipynb,PASS,11.6,reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12309 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\05-feature-engineering-and-selection.ipynb 
06-supervised-machine-learning.ipynb,PASS,12.0,r add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\06-supervised-machine-learning.ipynb 
07-probabilistic-machine-learning.ipynb,PASS,11.8,dd_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\07-probabilistic-machine-learning.ipynb 
08-tuning-and-scientific-benchmarking.ipynb,PASS,11.5,eader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12311 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\08-tuning-and-scientific-benchmarking.ipynb 
09-imbalance-calibration-and-thresholds.ipynb,PASS,11.2,der support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12315 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\09-imbalance-calibration-and-thresholds.ipynb 
10-explainable-ai-and-stability.ipynb,PASS,11.1, add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12299 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\10-explainable-ai-and-stability.ipynb 
11-deep-learning-foundations.ipynb,PASS,11.4,for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12293 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\11-deep-learning-foundations.ipynb 
12-deep-learning-architectures.ipynb,PASS,11.1,r add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\12-deep-learning-architectures.ipynb 
13-probabilistic-deep-learning.ipynb,PASS,11.4,r add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\13-probabilistic-deep-learning.ipynb 
14-deep-learning-xai-and-reproducibility.ipynb,PASS,11.2,er support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12317 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\14-deep-learning-xai-and-reproducibility.ipynb 
15-bayesian-modeling.ipynb,PASS,11.3, thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12277 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\15-bayesian-modeling.ipynb 
16-bayesian-diagnostics-and-predictive-checking.ipynb,PASS,11.1,ort via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12331 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\16-bayesian-diagnostics-and-predictive-checking.ipynb 
