obs_id,b001,b002,b003,b004,b005,b006,b007,b008,b009,b010,b011,b012,b013,b014,b015,b016,b017,b018,b019,b020,b021,b022,b023,b024,b025,b026,b027,b028,b029,b030,b031,b032,b033,b034,b035,b036,b037,b038,b039,b040,b041,b042,b043,b044,b045,b046,b047,b048,b049,b050,b051,b052,b053,b054,b055,b056,b057,b058,b059,b060,b061,b062,b063,b064,leaf_n,water_status
HS0001,0.319237098397,0.314012389986,0.330987254312,0.343617214173,0.330922689114,0.347229334371,0.361114324415,0.35287545028,0.36124382489,0.3954285455,0.366917428501,0.390905192857,0.391401268681,0.374095044344,0.395302623127,0.383659691423,0.387475420845,0.394950828731,0.386893180416,0.379042629362,0.382452293207,0.368748763252,0.365407933942,0.366133931819,0.374024881817,0.34668179718,0.348118134004,0.327606694102,0.307224365685,0.303481864628,0.27889149414,0.273132014326,0.264087477386,0.256300691192,0.2518049084,0.218674868521,0.236626494716,0.234520146115,0.234372905607,0.237376280082,0.236227628789,0.234097695105,0.253319429792,0.24833600093,0.264509529479,0.283927886467,0.296364429374,0.299823877797,0.30977119321,0.311959498711,0.326592064813,0.331096932296,0.372550531379,0.348727276697,0.353190270156,0.338609957622,0.360237816488,0.370242045051,0.377382056138,0.380121325016,0.38458238744,0.371569172321,0.379523533005,0.398278990345,3.04911920273,-0.849618933863
HS0002,0.324621614419,0.313210932077,0.336514022037,0.335062245879,0.343708223351,0.337892860896,0.360445483456,0.363232134189,0.382343024901,0.371320499235,0.386676213851,0.377905331026,0.383886963102,0.375850859777,0.37068833167,0.361791762019,0.362734911155,0.349741205039,0.348789841666,0.3425158987,0.33063572869,0.336474702003,0.304032189478,0.295655699734,0.292632464055,0.2844965674,0.260751882551,0.258902934788,0.251808377369,0.239318294049,0.241022483159,0.244328977785,0.228326002872,0.221402935856,0.21683549135,0.219510303694,0.221036885912,0.216361323675,0.218268041312,0.223660139011,0.221073145112,0.24871452994,0.248286514934,0.257762332955,0.271704117428,0.282593806101,0.297520422963,0.301199241602,0.304330083897,0.312678996544,0.320367889941,0.339373469871,0.342168633603,0.361253100145,0.354109423049,0.356613018378,0.367128417816,0.362228740534,0.383527339473,0.383224732063,0.375519788814,0.372945936433,0.375518397878,0.381426256915,2.38669832075,-0.775358247532
HS0003,0.311415625096,0.313664956092,0.327830854988,0.33837370633,0.353958767836,0.366039071214,0.354788883703,0.359787319437,0.363938819255,0.385841205827,0.382938174794,0.377335299272,0.371836627202,0.371856754622,0.388255255396,0.365858125673,0.372026982318,0.374957333871,0.374110946744,0.342406143568,0.355457631311,0.33268103365,0.32414812812,0.325162637314,0.323230505552,0.321306451247,0.284209201889,0.286397549905,0.283228621872,0.281622605608,0.255636378915,0.251701148357,0.236794963776,0.234619824802,0.234504693004,0.215351044623,0.22035456915,0.229695846291,0.215838430093,0.225045729574,0.213130292009,0.233416380006,0.229145318944,0.21976920674,0.242731186878,0.235824227551,0.242720707959,0.24549670756,0.254240472097,0.283521329822,0.295059525773,0.29645836829,0.306229572767,0.31170949348,0.330631124431,0.353504493753,0.352602063878,0.355833046012,0.370683806599,0.357067972335,0.377098129142,0.357393474285,0.387258346626,0.383744455328,2.66316098617,0.746361192138
HS0004,0.307534975538,0.313017906717,0.332267005172,0.340853500452,0.358786222834,0.359414004093,0.357992970564,0.365899386996,0.378956121071,0.37975595032,0.380622517947,0.373974771778,0.380375938737,0.388965871644,0.373015643955,0.387888083441,0.385727488943,0.391178657223,0.384519745697,0.374396497308,0.36919009626,0.35974491533,0.355160898799,0.359332153898,0.344002510288,0.335043391469,0.337450631178,0.304019646182,0.303797607182,0.280265673725,0.259602126414,0.262498443414,0.254055055099,0.245714635957,0.228151280852,0.220106156669,0.229754121916,0.224281576704,0.228870468253,0.219412889379,0.235114791068,0.24670451158,0.246137520573,0.245537800383,0.246920179031,0.252720589416,0.258654329125,0.278755423521,0.287759422499,0.300088864406,0.320033077855,0.325899344272,0.32648021187,0.328687971543,0.340856962771,0.367334629605,0.365929657862,0.361865792078,0.359337606892,0.373131479892,0.373289358967,0.383710437159,0.391191579875,0.38418961546,2.86325831417,-0.0514110681721
HS0005,0.298357875475,0.314850449628,0.326835356314,0.342438614248,0.334880817929,0.352394561017,0.384383256602,0.368735539837,0.394895440442,0.377220007396,0.368950230414,0.374898210191,0.376699787703,0.381125732521,0.387655446409,0.364099398599,0.345668032883,0.3568561089,0.348935792206,0.354108893774,0.332779681326,0.318616027927,0.323587625892,0.317385481767,0.292156155382,0.277135579757,0.272634219855,0.260621014708,0.259946772537,0.241032471812,0.240671177503,0.244470735945,0.222483656218,0.223730016778,0.213816726031,0.221505010573,0.220033064584,0.217027445456,0.223740924493,0.217647285826,0.2191666031,0.23054002963,0.23602539771,0.231862953622,0.241123230677,0.241874845986,0.253100147601,0.24718627377,0.261564308947,0.279595352054,0.28030735566,0.292678732388,0.293612644253,0.326570603399,0.33644403495,0.337590996656,0.351718143264,0.344316200507,0.363117567147,0.373070661545,0.394233594966,0.383987391939,0.391122423547,0.377633293018,2.38682176398,0.859146024996
HS0006,0.308416743715,0.32287258326,0.325849059824,0.335912077396,0.346669261651,0.348840208092,0.367621235177,0.377378337645,0.376657158285,0.372382020526,0.379559039137,0.376500934666,0.385650871648,0.368629442099,0.39350609565,0.372631900373,0.383846140432,0.360301280247,0.360380622336,0.346454774046,0.349983637421,0.346914068094,0.332467865842,0.330776098045,0.316159762959,0.307341096546,0.279454789766,0.291635781324,0.278367756582,0.276137647278,0.26471740677,0.257727582037,0.247437840752,0.232438222618,0.243062031645,0.221644111198,0.222064967417,0.220278319569,0.222024352118,0.228518582784,0.234813993081,0.238064597707,0.239375460422,0.239378492874,0.242154325025,0.273781839355,0.281180871906,0.281141442074,0.306204254333,0.307843728941,0.330371779858,0.323821560568,0.329204305306,0.353157029016,0.345415948025,0.364282306644,0.360773698607,0.360861265658,0.370269888569,0.395686459944,0.372303361004,0.359477364516,0.381512285022,0.373622463435,2.70203263667,-0.351596077044
HS0007,0.302010485799,0.322728434348,0.333276306097,0.32476396261,0.330225555761,0.356110008317,0.35733334856,0.375219033015,0.363092007057,0.392163881856,0.388601481952,0.37414554832,0.375935779705,0.37903984092,0.36718008562,0.35344792729,0.364370474586,0.361578946063,0.360180664355,0.349330619085,0.338984787785,0.327492593219,0.305046532583,0.301079419516,0.280628640808,0.279779937799,0.272606354108,0.269980266774,0.264114619729,0.247545070865,0.247740824814,0.245988255404,0.237762735629,0.231188310266,0.22008746072,0.221077933936,0.220400635446,0.226381695294,0.217970163565,0.227116406477,0.224265707604,0.243808814887,0.250422790683,0.253938768864,0.273471167582,0.289329669268,0.295606825614,0.305544748357,0.319053571023,0.318644378682,0.3342923003,0.342240604528,0.361757368177,0.353448520999,0.348837193368,0.360457496818,0.374997175314,0.361284092373,0.37897936236,0.373737983936,0.365761750777,0.375511359656,0.386392480575,0.374763263188,2.349947154,-0.989684414412
HS0008,0.312929735162,0.336087616273,0.325144166714,0.337239596206,0.357768521747,0.367539393941,0.360057240401,0.368624348407,0.382442547397,0.367822544398,0.369738160731,0.377013105663,0.405604375495,0.376113942664,0.402665755608,0.397875270162,0.386621289867,0.388378294266,0.388020417289,0.391528429123,0.389590463851,0.390877831349,0.377213308412,0.383251370909,0.367152493752,0.376603426955,0.349930026722,0.354089886052,0.319120930932,0.31906376572,0.315949555732,0.278693533233,0.256016556193,0.258857056212,0.254645982666,0.232359167525,0.227813107067,0.225687322189,0.226883203913,0.22996486742,0.23132398556,0.240586681635,0.25587161869,0.255666472083,0.248758492618,0.272581877917,0.263702711318,0.280654817362,0.299784446113,0.317811929747,0.316575313983,0.333367259449,0.336837711255,0.350724430666,0.350469610014,0.351139889919,0.374302102739,0.371025711667,0.356511731082,0.381179928195,0.368951287065,0.372703460679,0.391367276683,0.39753788921,3.16651050019,-0.521799988758
HS0009,0.307479250974,0.316310266782,0.329575458735,0.338458248055,0.336927038536,0.350163214336,0.366823886132,0.362648847133,0.375755357638,0.37718954866,0.383899713704,0.386470419507,0.376515421613,0.380322657306,0.374012545418,0.380831268136,0.369148379941,0.376622614456,0.368513803094,0.368591271101,0.363451260009,0.371139383579,0.351103238073,0.354077922356,0.35319814881,0.322998376367,0.333187665618,0.319035896193,0.303309107184,0.291023381138,0.28844031205,0.250333623788,0.270447532508,0.235246328925,0.252724831495,0.224260263928,0.228387559321,0.21883721558,0.204457229646,0.222484183061,0.222000581358,0.233125535603,0.234258325254,0.229252696437,0.236002671837,0.234247758704,0.251673770566,0.266822422144,0.256441462191,0.285426417615,0.291064483798,0.288150516842,0.312228121749,0.333676269286,0.326921291799,0.35424027,0.34611771732,0.367370463532,0.366826786478,0.37304000632,0.363348275541,0.379584623612,0.379165836968,0.390929755232,2.78182527249,0.548975828866
HS0010,0.296949063465,0.308053871922,0.339655152021,0.3417191577,0.352901700947,0.347479985527,0.356191851654,0.368694506771,0.362085607163,0.363889888092,0.385042661494,0.370806046096,0.37351449265,0.370515736926,0.383207094878,0.370105677223,0.373537399884,0.359879116013,0.362062284613,0.328972218551,0.336063808582,0.303887362129,0.323217385432,0.30917057925,0.296543425794,0.281882687715,0.266420858291,0.271553344929,0.247747427283,0.247055029994,0.250284156417,0.23388135771,0.223613609515,0.226279881995,0.220695946706,0.212498975907,0.205602018899,0.230877675818,0.22340478748,0.218398839864,0.242697715331,0.221268690056,0.269783851532,0.267254212169,0.277746024107,0.281169074795,0.298470224508,0.315773674274,0.323408767774,0.327681227934,0.346024672673,0.358384350268,0.357684604584,0.3715848213,0.369987637073,0.37752898202,0.374914940279,0.382339975322,0.386686352355,0.384988043872,0.378629722281,0.373533714123,0.384767617185,0.367790093738,2.19571567113,-1.47496302003
