obs_id,partition,x,true_mean,true_sigma,y
CH00001,train,1.26773252273,3.88443000878,0.820479635228,2.53851865307
CH00002,train,-1.81167730824,0.0240024678444,1.06525478871,-0.239470504349
CH00003,train,1.0578985884,3.72147420451,0.726054364782,3.06407601847
CH00004,train,1.13292543684,3.7882503073,0.759816446577,3.73198666305
CH00005,train,-1.59723430391,0.00705595944515,0.96875543676,-0.443434217603
CH00006,train,1.64225081537,3.99462980591,0.989012866915,2.83450878345
CH00007,train,-2.23483392354,0.201500881177,1.25567526559,0.0827097455654
CH00008,train,-1.08291043697,0.255219877724,0.737309696637,-0.107142091819
CH00009,train,-1.28641663476,0.104659650754,0.828887485643,0.505613401568
CH00010,train,-0.173430265493,1.65504470864,0.328043619472,1.24964237106
CH00011,train,0.894311465795,3.54385826491,0.652440159608,3.94396194134
CH00012,train,1.15853532544,3.80888238674,0.771340896447,3.66442330594
CH00013,train,0.838380814363,3.47344494579,0.627271366464,4.30253414893
CH00014,train,-1.93326406427,0.058904953464,1.11996882892,1.09007285089
CH00015,train,-2.23373255269,0.200880090021,1.25517964871,1.69068945547
CH00016,train,-0.282044661619,1.44407110041,0.376920097729,1.85394497924
CH00017,train,0.739675505064,3.33786850568,0.582853977279,3.2552308466
CH00018,train,-1.82303211243,0.0265580278081,1.07036445059,-0.506884630708
CH00019,train,0.0662645796249,2.13242265621,0.279819060831,2.00678098769
CH00020,train,0.653855712667,3.20898760521,0.5442350707,2.79528762858
CH00021,train,0.668866661841,3.23223029276,0.550989997828,2.68357675161
CH00022,train,-0.334630267793,1.34433086502,0.400583620507,1.45499959792
CH00023,train,-1.17660086882,0.177228617848,0.779470390968,0.126236067767
CH00024,train,0.145231524802,2.28934338635,0.315354186161,2.6898824958
CH00025,train,-0.357549921453,1.30145770948,0.410897464654,0.876529123963
CH00026,train,-2.09953468767,0.129701927078,1.19479060945,0.328652231019
CH00027,train,-1.79046365594,0.0196430084439,1.05570864518,0.985321013459
CH00028,train,1.81812944114,3.97456416151,1.06815824851,3.0861449568
CH00029,train,-0.569410289558,0.926952562893,0.506234630301,2.0091497206
CH00030,train,1.88022757549,3.95830712164,1.09610240897,4.7489359871
CH00031,train,1.48098006823,3.97451393364,0.916441030705,4.38249434649
CH00032,train,2.28382052821,3.77044424551,1.2777192377,2.65765866192
CH00033,train,1.88344869258,3.95734626241,1.09755191166,4.28551982018
CH00034,train,-1.99984985144,0.0844364831969,1.14993243315,1.06235131356
CH00035,train,-2.19022592552,0.176772839146,1.23560166648,-0.211523600798
CH00036,train,-1.42702267483,0.0412351986415,0.892160203672,0.731128529038
CH00037,train,-0.36936027471,1.27951930679,0.416212123619,1.33563831793
CH00038,train,-2.43809563805,0.321261097431,1.34714303712,-0.589366377488
CH00039,train,-1.10166619212,0.238427462849,0.745749786453,0.471690373021
CH00040,train,2.11784744467,3.86119293357,1.2030313501,3.55008738313
CH00041,train,-2.12920805777,0.144564251152,1.208143626,-1.47346520671
CH00042,train,2.42033794806,3.68938990373,1.33915207663,3.31446780597
CH00043,train,-0.0477273136885,1.90458517382,0.27147729116,1.59681878326
CH00044,train,1.41986118982,3.95632172493,0.888937535419,2.32630566849
CH00045,train,-2.08068441821,0.120566799669,1.18630798819,0.784277764167
CH00046,train,-1.5463198272,0.0125773304544,0.945843922242,0.977408191765
CH00047,train,-2.43267261722,0.318009399204,1.34470267775,-1.61279597813
CH00048,train,-2.30763193183,0.243459936948,1.28843436932,1.54476006078
CH00049,train,0.967474624731,3.62862192206,0.685363581129,4.60125819738
CH00050,train,1.48204993432,3.97477917642,0.916922470443,3.2948501857
CH00051,train,-1.67598239439,0.00600923576596,1.00419207748,-0.547385176122
CH00052,train,-0.213579698071,1.57639433474,0.346110864132,2.32355526404
CH00053,train,0.191848027792,2.38111854752,0.336331612507,2.33497445709
CH00054,train,-0.618135809672,0.847461627575,0.528161114352,0.995291317711
CH00055,train,0.0182984405095,2.03659463761,0.258234298229,2.45758523049
CH00056,train,0.129657799745,2.25851860046,0.308346009885,2.28303053772
CH00057,train,-0.258828060352,1.48865714527,0.366472627158,1.34070869298
CH00058,train,1.03054101751,3.69479534536,0.713743457881,3.09717701989
CH00059,train,2.35534289492,3.72830273498,1.30990430271,3.67392334953
CH00060,train,0.432164529794,2.83523732058,0.444474038407,4.29883470459
CH00061,train,0.100461174429,2.20055140927,0.295207528493,2.21626236164
CH00062,train,-2.04185454096,0.102564433119,1.16883454343,-1.12302035978
CH00063,train,-2.02858919777,0.0966819413148,1.16286513899,0.155935175588
CH00064,train,0.101008133185,2.20163923853,0.295453659933,1.86972720434
CH00065,train,2.11154649372,3.86435062815,1.20019592217,2.4082199598
CH00066,train,-2.04479162839,0.103885862391,1.17015623278,-0.060240068041
CH00067,train,-0.904150275465,0.44425261304,0.656867623959,-0.279843816595
