row_id,x1,x2,y,mu_truth,sigma_truth
B0001,-1.57805357631,-0.202627411791,-1.02319640056,-1.45347974082,0.8
B0002,1.39120378264,0.511250256704,4.32535116598,3.77115730858,0.8
B0003,-1.15441753596,0.65246820975,-1.14137243007,-1.46130328166,0.8
B0004,1.6791004526,0.24968770245,4.20838813006,4.60851320276,0.8
B0005,0.445439267462,0.0467592558097,1.48711665398,2.34411927911,0.8
B0006,-0.204710378075,-0.754131611372,1.12219227737,1.84471085522,0.8
B0007,0.0348332006818,1.18354052402,-0.249036076758,0.386125877339,0.8
B0008,-0.566866788554,-1.43962939451,1.30311502131,1.80589581741,0.8
B0009,-0.212967977414,0.863731793327,1.42976656848,0.210332251846,0.8
B0010,-0.245718260934,-0.34897414146,1.13723543657,1.35753761959,0.8
B0011,-0.103913557859,0.795238540839,2.01340471293,0.496934343442,0.8
B0012,0.757570580414,-0.313751389199,3.00391464401,3.32889255003,0.8
B0013,-0.367237058343,-1.05533017426,1.09056025625,1.82085605757,0.8
B0014,-0.399085718612,-1.62555099606,2.06668650604,2.32737955883,0.8
B0015,0.41612672971,-1.62757945643,4.32336312623,3.95983291585,0.8
B0016,-0.461993143958,-0.185922310498,0.705945028198,0.761936022581,0.8
B0017,-1.16351190712,1.26870650942,-1.81428193807,-2.09573032366,0.8
B0018,0.610293702945,0.805320885433,2.63831587444,1.91526652046,0.8
B0019,-0.0484123194386,-0.479312294581,2.31990510143,1.8824876557,0.8
B0020,1.43497262346,-0.222277912205,5.34417347901,4.59222315913,0.8
B0021,-0.679192738354,-0.439839426752,-0.172632824051,0.581453950043,0.8
B0022,-0.672336981345,0.547259000609,0.324775297533,-0.391932963299,0.8
B0023,-0.700304177329,-0.356696802939,0.521059856954,0.456088448282,0.8
B0024,-0.587531891891,0.211608131391,0.524364999612,0.113328084826,0.8
B0025,0.83913108653,0.924629034713,3.42558503689,2.25363313835,0.8
B0026,-0.917797703843,0.801448539623,-0.401938165673,-1.13704394731,0.8
B0027,0.831658860885,-0.891294798625,4.89502096851,4.05461252039,0.8
B0028,-0.763850143439,-0.539914755805,2.62631147423,0.512214468927,0.8
B0029,-0.202644908693,-1.72652299597,3.3854457394,2.82123317858,0.8
B0030,0.320598803179,-1.1458911788,3.73808182766,3.28708878516,0.8
B0031,-1.05718427688,0.00538393463497,-1.21846149042,-0.619752488399,0.8
B0032,-0.666925137054,2.51982859125,-2.4819720043,-2.35367886536,0.8
B0033,0.0752463211747,0.195618062628,1.86730860612,1.45487457972,0.8
B0034,0.886157765391,-0.0878134093877,3.53586825905,3.36012894017,0.8
B0035,-1.39096296856,-0.794227836689,-0.318492504431,-0.48769810044,0.8
B0036,0.945268939364,0.599545459442,2.79471420573,2.79099241929,0.8
B0037,-0.292057867622,-1.72437132033,1.65173527464,2.64025558508,0.8
B0038,0.34590702401,-0.152351829828,3.66975884494,2.34416587785,0.8
B0039,0.826082989444,-0.285185694791,2.90331640368,3.43735167368,0.8
B0040,-0.0217570489799,0.663467312454,0.886601033767,0.793018589586,0.8
B0041,-0.850246758442,0.21826063655,-0.432823028924,-0.418754153433,0.8
B0042,-0.500985161088,0.984362251427,-0.207210094096,-0.486332573602,0.8
B0043,1.37692418153,-2.29155604133,5.88636099701,6.54540440439,0.8
B0044,0.551445275143,-0.0185867386511,3.39224730427,2.62147728894,0.8
B0045,0.425117335908,-1.50873552021,2.68595718017,3.85897019202,0.8
