obs_id,x,y,true_mean,response
GP00_00,0,0,0,-0.0394144257867
GP00_01,0,0.047619047619,-0.0190476190476,-0.20563141912
GP00_02,0,0.0952380952381,-0.0380952380952,-0.0497483233487
GP00_03,0,0.142857142857,-0.0571428571429,-0.144179351282
GP00_04,0,0.190476190476,-0.0761904761905,-0.00711131978113
GP00_05,0,0.238095238095,-0.0952380952381,0.0150384418491
GP00_06,0,0.285714285714,-0.114285714286,-0.177011993065
GP00_07,0,0.333333333333,-0.133333333333,-0.173107084818
GP00_08,0,0.380952380952,-0.152380952381,-0.149569007081
GP00_09,0,0.428571428571,-0.171428571429,-0.398098309491
GP00_10,0,0.47619047619,-0.190476190476,-0.148829683999
GP00_11,0,0.52380952381,-0.209523809524,-0.103230468306
GP00_12,0,0.571428571429,-0.228571428571,-0.0634073894851
GP00_13,0,0.619047619048,-0.247619047619,-0.238949044101
GP00_14,0,0.666666666667,-0.266666666667,-0.204253238086
GP00_15,0,0.714285714286,-0.285714285714,-0.357379924912
GP00_16,0,0.761904761905,-0.304761904762,-0.53638011599
GP00_17,0,0.809523809524,-0.32380952381,-0.227750458149
GP00_18,0,0.857142857143,-0.342857142857,-0.289440556935
GP00_19,0,0.904761904762,-0.361904761905,-0.464421828814
GP00_20,0,0.952380952381,-0.380952380952,-0.301928756483
GP00_21,0,1,-0.4,-0.436938302831
GP01_00,0.047619047619,0,0.627605586917,0.445951694152
GP01_01,0.047619047619,0.047619047619,0.582367677111,0.696575041199
GP01_02,0.047619047619,0.0952380952381,0.487076308057,0.421062046683
GP01_03,0.047619047619,0.142857142857,0.348506071533,0.333652799647
GP01_04,0.047619047619,0.190476190476,0.177277076618,0.12283390637
GP01_05,0.047619047619,0.238095238095,-0.0130886936052,0.0538638442282
GP01_06,0.047619047619,0.285714285714,-0.207368869587,-0.29763840821
GP01_07,0.047619047619,0.333333333333,-0.389993269649,-0.560505641575
GP01_08,0.047619047619,0.380952380952,-0.546427378953,-0.647854037056
GP01_09,0.047619047619,0.428571428571,-0.664463804928,-0.602475932243
GP01_10,0.047619047619,0.47619047619,-0.735306957675,-0.865863418807
GP01_11,0.047619047619,0.52380952381,-0.754354576722,-0.810270480185
GP01_12,0.047619047619,0.571428571429,-0.721606662071,-0.576387253054
GP01_13,0.047619047619,0.619047619048,-0.641665474191,-0.75421057854
GP01_14,0.047619047619,0.666666666667,-0.523326602982,-0.420667503921
GP01_15,0.047619047619,0.714285714286,-0.378797441016,-0.423131905442
GP01_16,0.047619047619,0.761904761905,-0.222612503129,0.0774210293094
GP01_17,0.047619047619,0.809523809524,-0.0703419710011,-0.0224337967606
GP01_18,0.047619047619,0.857142857143,0.0627917858187,0.222358993111
GP01_19,0.047619047619,0.904761904762,0.163266784248,0.31526759605
GP01_20,0.047619047619,0.952380952381,0.220462915206,0.307844042161
GP01_21,0.047619047619,1,0.227605586917,0.232894679258
