row_id,partition,x1,x2,y,mu_truth,sigma_truth
C0001,train,-1.83427318946,-1.38504356339,-1.11182459553,-1.04038127307,0.880169174103
C0002,train,-0.197037194979,-1.72355586401,-0.222455707284,0.833361681468,0.585466695096
C0003,train,0.84180303045,-0.025334133135,2.13349274162,3.46521700084,0.701524545481
C0004,train,-0.785064337082,0.742745417575,0.902892881351,0.935145432858,0.691311580675
C0005,train,0.233456709505,-0.0226641084066,2.12910000802,2.45168021493,0.592022207711
C0006,train,1.63423940306,1.76154053706,4.30918790852,5.04266462197,0.84416309255
C0007,train,0.417877042081,1.46030089615,3.72363582455,3.46470398979,0.625217867575
C0008,train,-2.30855238418,1.30927082539,-0.355521258366,-0.344162298528,0.965539429152
C0009,train,0.0781059757278,-0.863511095894,1.05341746547,1.76744159516,0.564059075631
C0010,train,1.27986854844,0.921776247723,3.6427537706,4.37148780819,0.780376338719
C0011,train,1.43768482091,0.718663844377,4.55213358752,4.41508429668,0.808783267763
C0012,train,0.13924734187,-0.660210947049,2.99229466399,1.98032394553,0.575064521537
C0013,train,-1.26202608519,-0.222369580199,0.0564253791449,-0.0406123275851,0.777164695335
C0014,train,-2.08870714393,0.789524781931,-0.180906029446,-0.310819390101,0.925967285908
C0015,train,1.84493472353,1.75112092215,5.14107549334,5.21454781457,0.882088250236
C0016,train,-1.87152252169,-1.33706880131,-1.59768884603,-1.05206031502,0.886874053905
C0017,train,-1.27367716296,0.737757553365,1.88142503691,0.380879526619,0.779261889333
C0018,train,2.30885489821,1.08811131783,3.78972196909,5.42339056855,0.965593881678
C0019,train,-2.10814682136,-0.014349783754,-0.962785250332,-0.694028593988,0.929466427844
C0020,train,-0.791156413702,0.356287452045,0.158247986936,0.752730268486,0.692408154466
C0021,train,0.0718121676442,-0.817790266938,2.12401887276,1.7754707341,0.562926190176
C0022,train,0.844811096125,-1.42013204838,2.61376752192,2.84156066572,0.702065997302
C0023,train,-0.315946740609,-0.317030486671,0.584061461674,1.2378087384,0.60687041331
C0024,train,-0.145323247217,0.898409405828,2.13685594672,2.11486018713,0.576158184499
C0025,train,-0.504025012747,0.0920547997509,0.992614296293,1.08205170591,0.640724502294
C0026,train,0.0533196976471,0.91182622576,4.00278222218,2.5169005964,0.559597545576
C0027,train,0.88342475411,0.517350129675,3.35088286644,3.76385513036,0.70901645574
C0028,train,-0.768566948737,0.324759988204,0.407561688847,0.770318224282,0.688342050773
C0029,train,-1.8548811898,0.389263836654,-0.369711365171,-0.260237868338,0.883878614163
C0030,train,-0.451666854791,0.0336533114728,1.06459796474,1.14719194742,0.631300033862
C0031,train,2.02230859314,0.142157325746,4.34222613473,4.65964180591,0.914015546766
C0032,train,0.620044517833,0.198477798486,2.97610717784,3.24112120853,0.66160801321
C0033,train,-1.16518100976,-0.143746234383,-0.621847446236,0.0865202370697,0.759732581758
C0034,train,1.96568503817,-0.727465584566,5.33075441869,4.21154056192,0.903823306871
C0035,train,0.398209625698,-0.243412946499,2.09669900737,2.66241467979,0.621677732626
